afp,orden_bvl,factor,lag,instrumento,ticker_elegido,tipo,sector,moneda_modelo
Habitat,1,ret_BVL_PEN_MINSUR,0,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN
Habitat,2,ret_BVL_PEN_INRETAIL_PERU,0,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN
Habitat,3,ret_BVL_PEN_UNACEM,0,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN
Integra,1,ret_BVL_PEN_MINSUR,0,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN
Integra,2,ret_BVL_PEN_INRETAIL_PERU,0,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN
Integra,3,ret_BVL_PEN_UNACEM,0,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN
Integra,4,ret_BVL_PEN_ALICORP,0,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN
Prima,1,ret_BVL_PEN_MINSUR,0,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN
Prima,2,ret_BVL_PEN_INRETAIL_PERU,0,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN
Prima,3,ret_BVL_PEN_ALICORP,0,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN
Prima,4,ret_BVL_PEN_UNACEM,0,UNACEM,UNACEMC1.LM,ACCION_BVL,CEMENTO,PEN
Profuturo,1,ret_BVL_PEN_MINSUR,0,Minsur,MINSURI1.LM,ACCION_BVL,MINERIA,PEN
Profuturo,2,ret_BVL_PEN_INRETAIL_PERU,0,InRetail Peru,INRETC1.LM,ACCION_BVL,RETAIL,PEN
Profuturo,3,ret_BVL_PEN_CERRO_VERDE,0,Cerro Verde,CVERDEC1.LM,ACCION_BVL,MINERIA_COBRE,PEN
Profuturo,4,ret_BVL_PEN_ALICORP,0,Alicorp,ALICORC1.LM,ACCION_BVL,CONSUMO,PEN
