fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct
2026-01-30,CA-0001-en2026.XLS,3,8,Habitat,3,495580.3823458773,miles_soles,0.09938971538145278,GOBIERNO CENTRAL,,sin_categoria_adyacente,,5792285.413077266,8.555869523055675
2026-01-30,CA-0001-en2026.XLS,3,8,Prima,3,149988.1455045,miles_soles,0.04978938813322535,GOBIERNO CENTRAL,,sin_categoria_adyacente,,3344285.975979006,4.484907887119087
2026-01-30,CA-0001-en2026.XLS,3,8,Profuturo,3,137012.61863793002,miles_soles,0.03850190966141012,GOBIERNO CENTRAL,,sin_categoria_adyacente,,4454524.3766899705,3.0758080336231135
2026-01-30,CA-0001-en2026.XLS,3,9,Habitat,3,495580.3823458773,miles_soles,0.09938971538145278,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,,sin_categoria_adyacente,,5792285.413077266,8.555869523055675
2026-01-30,CA-0001-en2026.XLS,3,9,Prima,3,149988.1455045,miles_soles,0.04978938813322535,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,,sin_categoria_adyacente,,3344285.975979006,4.484907887119087
2026-01-30,CA-0001-en2026.XLS,3,9,Profuturo,3,137012.61863793002,miles_soles,0.03850190966141012,BONOS GOBIERNO CENTRAL DE LA REPUBLICA,,sin_categoria_adyacente,,4454524.3766899705,3.0758080336231135
2026-01-30,CA-0001-en2026.XLS,3,15,Integra,3,33.74736,miles_soles,9.932578460010417e-06,BANCO CITIBANK,CUENTAS CORRIENTES,pareja_exacta,,3637735.127414874,0.0009277025076859371
2026-01-30,CA-0001-en2026.XLS,3,15,Prima,3,3.54142,miles_soles,1.1755938066283828e-06,BANCO CITIBANK,CUENTAS CORRIENTES,pareja_exacta,,3344285.975979006,0.00010589465211518836
2026-01-30,CA-0001-en2026.XLS,3,15,Profuturo,3,77.162414,miles_soles,2.1683406408976377e-05,BANCO CITIBANK,CUENTAS CORRIENTES,pareja_exacta,,4454524.3766899705,0.0017322256536249372
2026-01-30,CA-0001-en2026.XLS,3,17,Habitat,3,21559.056436551797,miles_soles,0.004323715303214092,BANCO CONTINENTAL,,sin_categoria_adyacente,,5792285.413077266,0.3722029371666981
2026-01-30,CA-0001-en2026.XLS,3,17,Integra,3,21963.907405504997,miles_soles,0.006464453325936674,BANCO CONTINENTAL,,sin_categoria_adyacente,,3637735.127414874,0.6037797320640402
2026-01-30,CA-0001-en2026.XLS,3,17,Prima,3,31108.4321223996,miles_soles,0.0103266147864451,BANCO CONTINENTAL,,sin_categoria_adyacente,,3344285.975979006,0.9301965306149671
2026-01-30,CA-0001-en2026.XLS,3,17,Profuturo,3,777.5371170770999,miles_soles,0.00021849566950622626,BANCO CONTINENTAL,,sin_categoria_adyacente,,4454524.3766899705,0.01745499746607887
2026-01-30,CA-0001-en2026.XLS,3,22,Habitat,3,38626.22128952001,miles_soles,0.0077465720536674535,BANCO DE CREDITO DEL PERU,,sin_categoria_adyacente,,5792285.413077266,0.6668563189637277
2026-01-30,CA-0001-en2026.XLS,3,22,Integra,3,429.19570375999996,miles_soles,0.00012632158492680874,BANCO DE CREDITO DEL PERU,,sin_categoria_adyacente,,3637735.127414874,0.01179843195634214
2026-01-30,CA-0001-en2026.XLS,3,22,Prima,3,12284.85801024,miles_soles,0.004078026043831916,BANCO DE CREDITO DEL PERU,,sin_categoria_adyacente,,3344285.975979006,0.3673387413181294
2026-01-30,CA-0001-en2026.XLS,3,22,Profuturo,3,201.52309448,miles_soles,5.6629995510565336e-05,BANCO DE CREDITO DEL PERU,,sin_categoria_adyacente,,4454524.3766899705,0.004524009241807001
2026-01-30,CA-0001-en2026.XLS,3,35,Integra,3,110.03940000000001,miles_soles,3.238697706109368e-05,BANCO INTERAMERICANO DE FINANZAS,,sin_categoria_adyacente,,3637735.127414874,0.0030249426125260144
2026-01-30,CA-0001-en2026.XLS,3,35,Profuturo,3,131.70636000000002,miles_soles,3.701079816563217e-05,BANCO INTERAMERICANO DE FINANZAS,,sin_categoria_adyacente,,4454524.3766899705,0.002956687378100448
2026-01-30,CA-0001-en2026.XLS,3,39,Habitat,3,13950.96819544,miles_soles,0.002797896784527585,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,5792285.413077266,0.24085429498938096
2026-01-30,CA-0001-en2026.XLS,3,39,Integra,3,3474.05372488,miles_soles,0.0010224892020194185,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,3637735.127414874,0.09550045847754747
2026-01-30,CA-0001-en2026.XLS,3,39,Prima,3,10.301782000000001,miles_soles,3.419733077815045e-06,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,3344285.975979006,0.0003080413001159166
2026-01-30,CA-0001-en2026.XLS,3,39,Profuturo,3,32550.91595008,miles_soles,0.009147131393919532,BANCO INTERNACIONAL DEL PERU,,sin_categoria_adyacente,,4454524.3766899705,0.7307383055397635
2026-01-30,CA-0001-en2026.XLS,3,49,Integra,3,119.56092,miles_soles,3.5189366476400785e-05,Banco Pichincha,CUENTAS CORRIENTES,pareja_exacta,,3637735.127414874,0.0032866856934953633
2026-01-30,CA-0001-en2026.XLS,3,53,Integra,3,36.29366904,miles_soles,1.0682012321599408e-05,BANCO SANTANDER PERÚ,CUENTAS CORRIENTES,pareja_exacta,,3637735.127414874,0.0009976996061775336
2026-01-30,CA-0001-en2026.XLS,3,55,Habitat,3,192.12014879999998,miles_soles,3.853011052997587e-05,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,5792285.413077266,0.003316828075602931
2026-01-30,CA-0001-en2026.XLS,3,55,Integra,3,17037.6605884,miles_soles,0.005014552266290171,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,3637735.127414874,0.4683590198747557
2026-01-30,CA-0001-en2026.XLS,3,55,Prima,3,2401.7999216800004,miles_soles,0.0007972906666499717,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,3344285.975979006,0.07181801852268024
2026-01-30,CA-0001-en2026.XLS,3,55,Profuturo,3,26908.50793384,miles_soles,0.007561558576804219,BANCO SCOTIABANK DEL PERU S.A.A,,sin_categoria_adyacente,,4454524.3766899705,0.6040714037765563
2026-01-30,CA-0001-en2026.XLS,3,63,Habitat,3,200782.89711392001,miles_soles,0.04026744340273023,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,5792285.413077266,3.466384730638647
2026-01-30,CA-0001-en2026.XLS,3,63,Integra,3,186555.9479912,miles_soles,0.05490745322313262,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3637735.127414874,5.1283543594273295
2026-01-30,CA-0001-en2026.XLS,3,63,Prima,3,195264.21571744,miles_soles,0.06481902814508615,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,3344285.975979006,5.838741576526762
2026-01-30,CA-0001-en2026.XLS,3,63,Profuturo,3,207599.5262256,miles_soles,0.058337533315904744,CONSORCIO CREDICORP,ACCIONES DEL CAPITAL SOCIAL,pareja_exacta,,4454524.3766899705,4.660419579516619
