afp,variante,fecha_cuota,fecha_objetivo_t1,retorno_real_t1,umbral_caida_relevante,caida_relevante_t1,probabilidad_riesgo,umbral_dinamico,alerta_salida,estado_diario,modelo_codigo,cobertura_objetivo,n_historial_disponible
Habitat,base_sin_rebote,2024-03-01,2024-03-04,0.0033835428018016,0.0025,0.0,0.10248740254837438,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1209
Habitat,base_sin_rebote,2024-03-06,2024-03-07,0.0012981996551719,0.0025,0.0,0.10716654249566966,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1211
Habitat,base_sin_rebote,2024-03-07,2024-03-08,-0.0051230989413322,0.0025,1.0,0.09221540539819999,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1211
Habitat,base_sin_rebote,2024-03-08,2024-03-11,-0.0010267827267891,0.0025,0.0,0.21688724615344662,0.20630646437059114,True,RIESGO_ALTO,logistica_C1.0_normal,0.1,1212
Habitat,base_sin_rebote,2024-03-11,2024-03-12,0.0020984939944472,0.0025,0.0,0.23044277277908806,0.20630646437059114,True,RIESGO_ALTO,logistica_C1.0_normal,0.1,1213
Habitat,base_sin_rebote,2024-03-12,2024-03-13,0.0011671438257871,0.0025,0.0,0.14787256559701817,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1214
Habitat,base_sin_rebote,2024-03-13,2024-03-14,-0.0004105712108894,0.0025,0.0,0.12253362534936796,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1215
Habitat,base_sin_rebote,2024-03-15,2024-03-18,0.0051805128482056,0.0025,0.0,0.1667985140662763,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1217
Habitat,base_sin_rebote,2024-03-18,2024-03-19,-0.0042021969978843,0.0025,1.0,0.17232100264353659,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1217
Habitat,base_sin_rebote,2024-03-19,2024-03-20,0.0043433568491273,0.0025,0.0,0.11774211782366868,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1218
Habitat,base_sin_rebote,2024-03-20,2024-03-21,0.000555094749308,0.0025,0.0,0.128065528952567,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1219
Habitat,base_sin_rebote,2024-03-21,2024-03-22,0.0034323066054442,0.0025,0.0,0.09129585583981284,0.20630646437059114,False,SIN_SENAL,logistica_C1.0_normal,0.1,1220
